DIA,MES,ANO,OS,MARCA,TAMANHO,COR,COLADOR,QUANTIDADE,STATUS,PAGO
1,10,2022,OS001096/01M,DELLAWER,M,ADULTO,IDEZ,500,TOTAL OS,N
1,10,2022,OS001096/01P,DELLAWER,P,KIDS,IDEZ,500,TOTAL OS,N
13,9,2022,OS001056/01R,EXITO,M,ROSA,IDEZ,2000,TOTAL OS,N
21,9,2022,OS001080/01K,MARBELLE,M,KIDS,IDEZ,3000,TOTAL OS,N
13,9,2022,OS001056/01RX,EXITO,M,ROXA,IDEZ,2000,TOTAL OS,N
26,9,2022,OS009999/BRA,OFSET,M,BRANCA,DIOMAR,170,TOTAL OS,N
19,9,2022,OS001044/01KID,HARDY,M,KIDS,IDEZ,1000,TOTAL OS,N
19,9,2022,OS001080/03P,MARBELLE,P,PRETA,IDEZ,1000,TOTAL OS,N
19,9,2022,OS001080/03M,MARBELLE,M,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
6,9,2022,OS001044,HARDY,M,PRETA,IDEZ,2000,TOTAL OS,N
26,9,2022,OS001044/01VE,HARDY,M,VERMELHA,IDEZ,3000,TOTAL OS,N
5,9,2022,OS001063,CARIOCA DAS MARCAS,M,PRETA,IDEZ,1000,TOTAL OS,N
21,9,2022,OS001051,EXITO,M,MIRINS E CIA,IDEZ,2000,TOTAL OS,N
30,9,2022,OS009999/DUP,SACOLA,M,DUPLEX BRANCA,IDEZ,320,TOTAL OS,N
16,9,2022,OS001080/02VC,MARBELLE,M,VERDE CLARO,IDEZ,1000,TOTAL OS,N
29,9,2022,OS001097/02R,PARISI,M,SALMAO,IDEZ,1000,TOTAL OS,N
29,9,2022,OS001097/02B,PARISI,M,BRANCA,IDEZ,1000,TOTAL OS,N
3,10,2022,OS VERMELHA ANTIGA,EXITO,M,VERMELHO,IDEZ,48,TOTAL OS,N
17,10,2022,OS001028/01,RDavila,M2,PRETA ,IDEZ,1500,TOTAL OS,N
18,10,2022,OS001044/04VE,HARDY,M,VERMELHA,IDEZ,4000,TOTAL OS,N
13,10,2022,OS001112,FABIOLA VAREDADES,M,VERDE,IDEZ,300,TOTAL OS,N
18,10,202,OS001113/01,Ed Multimarcas,M,LARANJA COM BRANCO,IDEZ,500,TOTAL OS,N
18,10,202,OS001109,CASA VENEZA,M,VERMELHO,IDEZ,300,TOTAL OS,N
18,10,202,OS001109/G,CASA VENEZA,G,VERMELHO,IDEZ,300,TOTAL OS,N
20,10,202,OS001113/V,Brunyellen,M,VINHO,IDEZ,500,TOTAL OS,N
24,10,202,OS001113/P,Brunyellen,M,PRETO,IDEZ,500,TOTAL OS,N
24,10,202,OS000000,ipe,M,TERCEIRIZADO,IDEZ,500,TOTAL OS,N
31,10,2022,DESATIVADO,DESATIVADO,P,DESATIVADO,IDEZ,1,TOTAL OS,N
8,11,2022,OSOS001134/PP,SHOPPING RICOS,PP,PRETA,IDEZ,1000,TOTAL OS,N
8,11,2022,OSOS001134/P,SHOPPING RICOS,P,PRETA,IDEZ,1000,TOTAL OS,N
8,11,2022,OSOS001134/P2,SHOPPING RICOS,P2,PRETA,IDEZ,1000,TOTAL OS,N
8,11,2022,OSOS001134/M,SHOPPING RICOS,M,PRETA,IDEZ,1000,TOTAL OS,N
21,10,2022,OS001108/03VCp,MARBELLE,P,VERDE CLARO,IDEZ,1000,TOTAL OS,N
21,10,2022,OS001108/03VMp,MARBELLE,P,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
21,10,2022,OS001108/03VCM,MARBELLE,M,VERDE CLARO,IDEZ,1000,TOTAL OS,N
21,10,2022,OS001108/03PM,MARBELLE,M,PRETO,IDEZ,1000,TOTAL OS,N
21,11,2022,OS001156,CASSIA PARENTE,M,ROSA,IDEZ,1000,TOTAL OS,N
25,11,22,OS001031,IRISBELA,M,ROSA,IDEZ,1000,TOTAL OS,N
26,11,2022,OS001108/3PM2,MARBELLE,M2,PRETA,IDEZ,1000,TOTAL OS,N
21,11,2022,OS001108/VM2,MARBELLE,M2,VERDE MILITAR,IDEZ,1000,TOTAL OS,N
29,11,2022,001654/01,HM CONCEITO,M,BRANCO C/ LARANJA,IDEZ,109,TOTAL OS,N
29,11,2022,001656/01,TS Style,M,LILAS,IDEZ,105,TOTAL OS,N
29,11,2022,001731/01,JOAO E MARIA,P,COLORIDA,IDEZ,275,TOTAL OS,N
